feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed,status,retained
atr_14,technical,0.0281138228257772,0.0176492330319327,0.108748227505332,0.0281138228257772,728108,1508,500,True,STRONG_PASS,True
vol_60d,technical,0.0257212569884158,0.0161120438214084,0.1007758970647042,0.0257212569884158,726171,1508,500,True,STRONG_PASS,True
gk_vol,technical,0.0251508692216432,0.0144951437651189,0.1053501738232084,0.0251508692216432,727875,1508,500,True,STRONG_PASS,True
vol_20d,technical,0.0236045114179868,0.0139040707344742,0.1006280219163406,0.0236045114179868,727836,1508,500,True,STRONG_PASS,True
vol_rank,technical,0.0236045114179868,0.0139040707344742,0.1006280219163406,0.0236045114179868,727836,1508,500,True,STRONG_PASS,True
bb_width,technical,0.0173085321005498,0.0088402510363714,0.0897280699641093,0.0173085321005498,727875,1508,500,True,STRONG_PASS,True
low_52w_ratio,technical,0.0138063885884647,0.0120574333628077,0.0776808640162907,0.0138063885884647,727875,1508,500,True,STRONG_PASS,True
revenue_growth_yoy,fundamental,0.0118815094575124,0.0154790630424083,0.0794249691212665,0.0118815094575124,727591,1508,500,True,STRONG_PASS,True
trend_confirmation,composite,-0.0117609745111008,-0.0113528733710841,-0.0787223667444007,0.0117609745111008,727303,1508,500,True,STRONG_PASS,True
high_52w_ratio,technical,-0.0115139319292903,-0.004364282838964,-0.0521449519574289,0.0115139319292903,727875,1508,500,True,STRONG_PASS,True
macd_histogram,technical,-0.0106482405146378,-0.0110998507007008,-0.0722833876147526,0.0106482405146378,727303,1508,500,True,STRONG_PASS,True
mean_reversion_combo,composite,-0.0103559476333967,-0.0108185251521767,-0.0702604152788975,0.0103559476333967,727875,1508,500,True,STRONG_PASS,True
current_ratio,fundamental,0.0103417925573201,0.0073749272582182,0.082688513037406,0.0103417925573201,710001,1508,498,True,STRONG_PASS,True
ret_vol_interaction_60d,composite,-0.0102606365147281,-0.0100394875014049,-0.0535943021427631,0.0102606365147281,726171,1508,500,True,STRONG_PASS,True
momentum_rank_60d,technical,-0.0099393518243125,-0.0096418791677201,-0.0515406405624614,0.0099393518243125,726171,1508,500,False,WEAK_PASS,True
ret_60d,technical,-0.0099393518243125,-0.0096418791677201,-0.0515406405624614,0.0099393518243125,726171,1508,500,False,WEAK_PASS,True
ret_5d,technical,-0.0098152142520447,-0.0116752306382573,-0.0549430819566563,0.0098152142520447,728404,1508,500,False,WEAK_PASS,True
amihud,technical,0.0097207387211168,0.0077472870395297,0.0850242699418493,0.0097207387211168,727836,1508,500,False,WEAK_PASS,True
earnings_growth_yoy,fundamental,0.0096908621894384,0.0119975454400247,0.0907230168941974,0.0096908621894384,727661,1508,500,False,WEAK_PASS,True
value_mom_pb,composite,-0.0096705447389307,-0.0129886114456303,-0.060574241842245,0.0096705447389307,724345,1508,499,False,WEAK_PASS,True
cci_20,technical,-0.0096409969086194,-0.0092483791831347,-0.061548794434816,0.0096409969086194,727875,1508,500,False,WEAK_PASS,True
bb_position,technical,-0.0094134529697258,-0.0092626571942921,-0.059423461195284,0.0094134529697258,727875,1508,500,False,WEAK_PASS,True
macd_signal,technical,-0.0087914119711732,-0.0055488453029803,-0.0551175001488296,0.0087914119711732,727303,1508,500,False,WEAK_PASS,True
stoch_d,technical,-0.0087148029324438,-0.0068791686667752,-0.0547839036370502,0.0087148029324438,728031,1508,500,False,WEAK_PASS,True
pb_ratio,fundamental,0.0086642612465647,0.0119360026099893,0.0535441857961011,0.0086642612465647,728122,1508,499,False,WEAK_PASS,True
stoch_k,technical,-0.0085018202521576,-0.0077515919182434,-0.0549014739543954,0.0085018202521576,728108,1508,500,False,WEAK_PASS,True
quality_value_roe_pb,composite,-0.0084850817159663,-0.0116441957830385,-0.0525572315263685,0.0084850817159663,726577,1508,499,False,WEAK_PASS,True
turnover_rate,technical,0.0078480673699395,0.000488444814553,0.0540079395037403,0.0078480673699395,728589,1508,500,False,WEAK_PASS,True
operating_margin,fundamental,-0.0076779167137407,-0.0022009532635891,-0.0794620146403088,0.0076779167137407,728404,1508,500,False,WEAK_PASS,True
mom_vol_adj_60d,composite,-0.0075942232034613,-0.0060799141414312,-0.0419349944349968,0.0075942232034613,726171,1508,500,False,WEAK_PASS,True
ev_ebitda,fundamental,0.0070314856975904,0.0121011976789453,0.0421602004607288,0.0070314856975904,725085,1508,499,False,WEAK_PASS,True
fcf_mom_20d,composite,-0.0069835386541381,-0.0058523571038415,-0.0597202830248966,0.0069835386541381,723466,1508,499,False,WEAK_PASS,True
vwap_deviation,technical,-0.0067089307085968,-0.0094465489111695,-0.0442921832472963,0.0067089307085968,728589,1508,500,False,WEAK_PASS,True
liquidity_momentum,composite,-0.0066355879035889,-0.0069266869569497,-0.0370144854789254,0.0066355879035889,726213,1508,500,False,WEAK_PASS,True
ret_vol_interaction_20d,composite,-0.0066355879035889,-0.0069266869569497,-0.0370144854789254,0.0066355879035889,726213,1508,500,False,WEAK_PASS,True
mom_vol_adj_20d,composite,-0.006521849485622,-0.0051182480799244,-0.0392475473041646,0.006521849485622,727836,1508,500,False,WEAK_PASS,True
rsi_14,technical,-0.0064146225901671,-0.0050819171520348,-0.0373003593842653,0.0064146225901671,728070,1508,500,False,WEAK_PASS,True
ret_10d,technical,-0.0063039749927103,-0.0079317917283292,-0.0353184816563134,0.0063039749927103,728219,1508,500,False,WEAK_PASS,True
obv_slope,technical,-0.0061328886720929,-0.0061353012072843,-0.0507082811317845,0.0061328886720929,727875,1508,500,False,WEAK_PASS,True
momentum_rank_20d,technical,-0.0060865907196327,-0.0062807228316491,-0.033352669919338,0.0060865907196327,727836,1508,500,False,WEAK_PASS,True
ret_20d,technical,-0.0060865907196327,-0.0062807228316491,-0.033352669919338,0.0060865907196327,727836,1508,500,False,WEAK_PASS,True
rsi_28,technical,-0.005850289225433,-0.0032977696902624,-0.032186687306892,0.005850289225433,727508,1508,500,False,WEAK_PASS,True
breadth_momentum,composite,,,,,0,0,0,False,EXEMPT_MACRO_DEPENDENT,True
credit_spread,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
credit_spread_change,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
dividend_yield,fundamental,,,,,0,0,0,False,DATA_GAP,True
eps_surprise,fundamental,,,,,0,0,0,False,DATA_GAP,True
ffr,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
macro_risk_on,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
market_ret_20d,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
risk_sentiment,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
sp500_breadth,macro,,,,,0,0,0,False,EXEMPT_MACRO,True
spread_stress,composite,,,,,728589,1508,500,False,EXEMPT_MACRO_DEPENDENT,True
vix,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
vix_change_5d,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
vix_rank,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
yield_10y,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
yield_spread_10y2y,macro,,,,,728589,1508,500,False,EXEMPT_MACRO,True
fcf_yield,fundamental,-0.0043016309590822,-0.0041841199554545,-0.0337880169606459,0.0043016309590822,725381,1508,499,False,ELIMINATED,False
margin_quality_combo,composite,-0.0041669133784799,-0.0004914061748623,-0.0416827427346223,0.0041669133784799,727329,1508,500,False,ELIMINATED,False
debt_to_equity,fundamental,-0.0039937281600221,-0.0023119253506382,-0.0488646172854313,0.0039937281600221,728349,1508,499,False,ELIMINATED,False
value_mom_pe,composite,-0.0035588143840092,-0.0097406963379169,-0.0231585715659724,0.0035588143840092,721510,1508,499,False,ELIMINATED,False
roe,fundamental,0.0034942641768057,0.0077854845281344,0.0342404304716435,0.0034942641768057,728166,1508,499,False,ELIMINATED,False
leverage_vol_20d,composite,0.0033166876512097,0.0018296940077285,0.0361566913843604,0.0033166876512097,726882,1508,499,False,ELIMINATED,False
quality_value_roa_pe,composite,-0.0030554497482328,-0.0094120074910669,-0.0199632697590563,0.0030554497482328,723570,1508,499,False,ELIMINATED,False
pe_ratio,fundamental,0.0029144370980556,0.0093541194161208,0.0190727125399832,0.0029144370980556,725167,1508,499,False,ELIMINATED,False
volume_ratio_20d,technical,-0.0028491028242242,-0.0043536829637346,-0.036177347168275,0.0028491028242242,726213,1508,500,False,ELIMINATED,False
profitability_combo,composite,0.0024065666626972,0.0067634756190919,0.0220934758351277,0.0024065666626972,726621,1508,499,False,ELIMINATED,False
volume_ratio_5d,technical,-0.0019933993131463,-0.0008077014194478,-0.0266631637595373,0.0019933993131463,727875,1508,500,False,ELIMINATED,False
gross_margin,fundamental,-0.0016339219377245,3.0570461808480667e-06,-0.01548007814144,0.0016339219377245,728404,1508,500,False,ELIMINATED,False
adx_14,technical,0.0013069405917409,0.0014913540525351,0.0115841868640572,0.0013069405917409,727590,1508,500,False,ELIMINATED,False
valuation_spread_pb_pe,composite,-0.0011658143927457,-0.0063670034586846,-0.0097830920408286,0.0011658143927457,723526,1508,499,False,ELIMINATED,False
roa,fundamental,0.0010793244225257,0.0060785390912972,0.0077695255035196,0.0010793244225257,728166,1508,499,False,ELIMINATED,False
vol_change,technical,-0.0004598409627481,-0.0024968001912245,-0.0044246996301122,0.0004598409627481,726171,1508,500,False,ELIMINATED,False
ps_ratio,fundamental,0.0004476185977967,0.0036123230509231,0.0024554668934128,0.0004476185977967,725167,1508,499,False,ELIMINATED,False
